4.441,6.361,7.321,6.291,6.901,43.685,243.405,494.585,963.755,1955.845,3885.265,7741.255
4.451,6.371,7.331,6.291,6.951,43.695,246.345,494.765,964.975,1957.805,3895.855,7741.345
4.531,6.421,7.351,6.351,6.961,43.925,248.245,502.535,966.315,1958.495,3899.815,7750.415
4.601,6.441,7.391,6.441,7.071,43.945,252.935,505.615,966.805,1960.215,3907.575,7753.405
4.701,6.551,7.491,6.571,7.071,43.965,256.365,507.535,970.115,1966.695,3921.515,7765.765
4.751,6.641,7.501,6.571,7.111,43.975,265.705,507.845,981.725,1969.335,3924.025,7766.725
4.851,6.771,7.511,6.591,7.111,43.975,277.575,509.835,991.525,1973.835,3928.895,7771.945
4.871,6.781,7.521,6.671,7.121,44.005,280.305,512.575,999.565,1992.015,3932.395,7776.885
4.881,6.811,7.531,6.731,7.171,44.155,300.405,512.875,999.825,1996.835,3938.845,7784.875
4.901,6.831,7.561,6.801,7.281,44.415,325.545,514.645,1003.195,2004.005,3939.365,7787.335
4.951,6.871,0.095,6.801,7.341,44.595,421.905,519.805,1013.515,2005.215,3944.185,7787.565
4.951,6.931,0.155,6.841,7.381,44.655,442.115,521.155,1022.855,2009.245,3956.245,7788.285
5.011,7.061,0.155,6.861,7.501,44.705,456.705,602.705,1031.615,2011.705,3958.565,7794.865
5.101,7.161,0.185,7.011,7.511,44.755,458.835,639.395,1037.305,2036.435,3960.485,7809.855
5.161,7.211,0.275,7.071,7.581,44.775,474.995,643.185,1039.645,2039.625,3994.225,7815.915
5.211,7.251,0.275,7.081,7.641,44.865,492.695,663.455,1062.955,2044.425,4118.845,7865.295
5.501,7.271,0.375,7.121,0.015,44.875,682.325,715.525,1080.305,2049.395,4153.715,7912.255
5.641,7.301,0.415,7.161,0.195,45.035,688.065,923.365,1399.895,2170.255,4827.305,8181.765
5.691,7.371,0.415,7.251,0.235,45.135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.701,7.391,0.465,7.291,0.275,45.155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.761,7.411,0.495,7.291,0.315,45.225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.931,7.471,0.525,7.291,0.395,45.415,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.951,7.531,0.525,7.321,0.435,45.495,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.981,7.571,0.655,7.351,0.505,45.615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.031,7.581,0.695,7.391,0.615,45.755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.091,7.581,0.695,0.045,0.655,45.795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.091,7.591,0.745,0.075,0.675,45.865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.171,0.065,0.765,0.155,0.715,45.945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.201,0.065,0.795,0.205,0.745,46.065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.211,0.065,0.825,0.235,0.745,46.085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.241,0.065,0.845,0.245,0.805,46.155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.291,0.075,0.885,0.355,0.855,46.385,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.321,0.095,0.895,0.375,0.995,46.465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.321,0.115,0.915,0.405,1.025,46.505,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.371,0.125,0.965,0.465,1.055,46.525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.491,0.135,1.005,0.475,1.055,46.615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.501,0.135,1.065,0.505,1.075,46.615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.521,0.185,1.095,0.565,1.325,46.765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.561,0.195,1.095,0.745,1.355,46.825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.631,0.255,1.185,0.825,1.415,46.915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.651,0.275,1.225,0.875,1.515,46.965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.681,0.295,1.245,0.885,1.545,47.065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.721,0.335,1.305,0.915,1.605,47.185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.751,0.425,1.315,1.015,1.735,47.195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.801,0.435,1.365,1.035,1.775,47.215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.841,0.435,1.475,1.075,1.945,47.235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.891,0.445,1.525,1.135,1.965,47.455,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.951,0.535,1.595,1.165,2.085,47.475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.961,0.535,1.635,1.285,2.415,47.615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.961,0.535,1.675,1.325,2.425,47.645,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.181,0.615,1.715,1.345,2.435,47.645,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.201,0.675,1.735,1.365,2.445,47.725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.241,0.725,1.835,1.435,2.585,47.765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.261,0.835,1.935,1.595,2.615,47.835,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
